Model,Variant,Accuracy,Precision,Recall,F1,Train Time (s),Inference Time (ms)
SVM,raw,0.677977378576181,0.5806184735096572,0.677977378576181,0.5987822724664041,4.7,1.5
Random Forest,raw,0.6866267465069861,0.5946461132998158,0.6866267465069861,0.6055848031729026,8.37,0.052
KNN,raw,0.6620093147039254,0.5718682202404518,0.6620093147039254,0.591686081453855,0.0,0.267
CNN,raw,0.6866267465069861,0.5985276928013084,0.6866267465069861,0.6050743795286843,826.03,13.985
SVM,filtered,0.6753160345974717,0.5791080446708043,0.6753160345974717,0.5929787253073364,4.13,0.809
Random Forest,filtered,0.6932801064537591,0.6105429207741226,0.6932801064537591,0.6087784132983753,9.41,0.038
KNN,filtered,0.6679973386560213,0.5841000184462357,0.6679973386560213,0.5993029444129201,0.0,0.201
CNN,filtered,0.6879574184963406,0.5834026052532436,0.6879574184963406,0.6061221488271539,797.26,12.51
SVM,edge,0.5994677312042581,0.5462582924406675,0.5994677312042581,0.5689758302492796,3.95,1.138
Random Forest,edge,0.6600133067198936,0.5213231795163598,0.6600133067198936,0.5603995293020486,3.27,0.051
KNN,edge,0.654690618762475,0.5125910643698597,0.654690618762475,0.5474379585050041,0.0,0.203
CNN,edge,0.6626746506986028,0.5666736871769493,0.6626746506986028,0.5959392154078513,794.69,14.383
